event,station,epi_deg,epi_km,event_time_utc,fc_Hz,band_t0_rel_s,noise_median,noise_std,threshold,fit_start_s,onset_s,peak_s,p_window_end_s,delta_tp_s,peak_amp,t10_s,t50_s,t90_s,rise_10_90_s,amp_rise,tau_rise_s,rmse_log
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,3.0,-22.142,3.29874152775679e-11,5.989774293190235e-11,2.1268064407327493e-10,0.0,26.642149679245335,68.69875345283015,76.64214967924534,42.05660377358481,3.4555097221474967e-09,29.396866660377327,40.58554590566041,67.64214967924534,38.24528301886801,7.1574299151019255e-09,429.34108136347277,0.9563468909639501
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,4.0,-7.47,4.813494276967534e-11,3.39205795019486e-11,1.4989668127552113e-10,0.0,14.838074207547152,64.83807420754715,64.83807420754715,50.0,2.3385378383730925e-09,15.649394962264068,43.12109307547166,50.81920628301884,35.169811320754775,9.916502168702727e-10,39.29636625190982,0.7533847308656044
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,5.0,0.0,3.820661068937604e-11,3.3228806980760355e-11,1.3789303163165711e-10,0.0,14.952979867924455,62.89637609433953,64.95297986792445,47.943396226415075,2.3771491646819244e-09,16.330338358490508,50.63222515094333,61.537885528301786,45.20754716981128,2.8939955086052074e-09,174.88215742014998,0.5177163969906146
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,6.0,8.009,3.066737226716767e-11,2.5721299058680438e-11,1.0783126944320899e-10,0.0,12.906244018867937,61.66096100000004,62.90624401886794,48.754716981132106,1.2671831948336093e-09,13.69869684905666,42.86850816981132,60.69869684905666,47.0,5.212653274607245e-10,37.474699134615165,0.590780379060722
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,7.0,7.711,2.7791447194040755e-11,2.4835773148391844e-11,1.0229876663921629e-10,0.0,33.29858364150948,71.54386666037738,83.29858364150948,38.245283018867894,6.816211069473352e-10,33.29858364150948,49.072168547169895,70.52499873584907,37.226415094339586,2.558414871303274e-10,41.64929182878041,0.5408061770156943
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,8.0,20.263,1.7470705156027035e-11,2.7798019362023712e-11,1.0086476324209818e-10,0.0,25.02960250943397,54.82205533962269,75.02960250943397,29.792452830188722,4.897291631458682e-10,25.02960250943397,29.369225150943407,53.803187415094385,28.773584905660414,2.2358220025526886e-10,37.5148012613726,0.41684949404124083
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,9.0,30.363,1.5874380158835196e-11,4.456389915171662e-11,1.4956607761398506e-10,0.0,39.75979118867929,74.75979118867929,89.75979118867929,35.0,5.480055599189978e-10,39.75979118867929,42.87299873584902,73.91073458490564,34.15094339622635,2.854889657476102e-10,44.879895602487,0.3544020230784887
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,3.0,-3.382,1.2494201947145798e-11,5.4567217203888574e-12,2.8864367108312372e-11,0.0,8.012786339622721,53.4844844528302,58.01278633962272,45.47169811320748,1.4079007522973735e-09,19.975050490566105,32.74863539622652,44.57882407547174,24.60377358490564,5.385631748684526e-10,43.04981080276355,0.850072735838309
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,4.0,-0.108,8.4909852755905e-12,3.4386444603489145e-12,1.8806918656637246e-11,0.0,5.342559924528359,50.946333509434,55.34255992452836,45.60377358490564,9.135458119403733e-10,13.795390113207645,33.55010709433964,40.4368995471699,26.641509433962256,3.7897461090610103e-10,27.671279973949765,0.7747442292524584
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,5.0,0.0,6.3526505884699096e-12,2.253018021269499e-12,1.3111704652278407e-11,0.0,7.291163698113223,35.17795615094337,57.29116369811322,27.88679245283015,8.770861873999027e-10,14.876069358490554,25.51757879245281,34.36663539622646,19.490566037735903,3.761113502177378e-10,28.64558186055698,0.8304134547210302
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,6.0,2.352,6.1187859501510405e-12,2.69226987031625e-12,1.419559556109979e-11,0.0,5.712748603773548,55.71274860377355,55.71274860377355,50.0,7.064503868360305e-10,10.958031622641556,26.033503320754676,54.46746558490565,43.5094339622641,3.000286762954239e-10,27.856374311081456,0.7607979407501524
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,7.0,5.749,5.340768238390466e-12,2.0312240223742224e-12,1.1434440305513133e-11,0.0,5.410088226415041,55.41008822641504,55.41008822641504,50.0,6.284344587831506e-10,13.844050490566019,24.655371245282936,54.5421636981132,40.69811320754718,2.441618713586738e-10,27.70504412086416,0.7314657126476675
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,8.0,4.724,4.571800258654875e-12,1.6010124397624287e-12,9.374837577942161e-12,0.0,6.94452218867923,56.284144830188666,56.94452218867923,49.339622641509436,5.23591071314558e-10,15.83131464150938,34.41622030188671,55.303012754716974,39.471698113207594,1.7939467386690032e-10,28.472261100126886,0.8020841868253452
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,9.0,7.907,4.439586221029076e-12,1.6006127721938788e-12,9.241424537610712e-12,0.0,5.101144830188673,55.10114483018867,55.10114483018867,50.0,4.1884721668960337e-10,11.950201433962206,23.252088226415026,51.04454105660375,39.09433962264154,1.726886506739093e-10,27.550572420425944,0.7105276715535309
