event,station,epi_deg,event_time_utc,fc_Hz,noise_rms,fit_threshold,tmax_s,emax,fit_end_s,td_s,Qc,rmse_log,amp0
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,4.0,6.594480165226747e-11,1.3188960330453495e-10,170.29090439622644,7.419385692065329e-09,827.7437345849056,489.7648647140901,6154.566803888737,0.5418568640753566,7.724363088534329e-09
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,5.0,5.7655015974049874e-11,1.1531003194809975e-10,271.8209043962264,4.746603645323026e-09,819.6322251509433,309.70550765099864,4864.842738063374,0.425415906385306,6.642601833119825e-09
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,6.0,4.420751699945651e-11,8.841503399891303e-11,283.75530062264147,4.179626098507357e-09,810.9251119433964,295.12771442675705,5563.026357083078,0.45171805206954724,4.303306282198465e-09
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,7.0,4.220257824502035e-11,8.44051564900407e-11,272.6948100566037,2.2946944729293724e-09,810.826885528302,315.0906927301451,6929.206238468799,0.40837542848039127,2.9206612927666676e-09
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,8.0,3.69599865621069e-11,7.39199731242138e-11,294.8597911886792,2.8804079442195024e-09,794.5956402452831,273.2805405196162,6868.289107723792,0.3806088078572466,2.1964155534100008e-09
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,9.0,5.323130609497848e-11,1.0646261218995696e-10,296.19375345283015,1.7341015039611009e-09,766.5711119433963,323.8055207706927,9155.385407205227,0.29756249170720617,1.6567705543563147e-09
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,3.0,1.416937558505829e-11,2.833875117011658e-11,261.03165426415103,5.051358569074259e-09,851.9184467169812,231.51114406058875,2181.9411282147416,0.4166461193186755,4.618755299322828e-09
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,4.0,9.036190795505225e-12,1.807238159101045e-11,250.4935033207547,4.558306882061792e-09,846.5878429433964,196.67066819479967,2471.4365055095136,0.4246847228175786,3.820923423129532e-09
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,5.0,6.863806535754353e-12,1.3727613071508707e-11,221.2534278490566,4.169460722357427e-09,843.2345599245282,196.40533252168896,3085.1277488799924,0.3982933534573922,3.155400599149147e-09
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,6.0,6.851238989485956e-12,1.3702477978971911e-11,288.8259561509434,3.0217571174239488e-09,840.2787863396226,182.82011613782925,3446.0780027222227,0.3548590956283828,1.893569261289238e-09
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,7.0,5.815964958998354e-12,1.1631929917996707e-11,265.8251825660377,2.7647151268471667e-09,840.7685787924529,178.8703634466282,3933.564738242044,0.39078450185410996,1.7123293147246704e-09
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,8.0,4.8365924905618025e-12,9.673184981123605e-12,291.71810709433964,2.065360487829309e-09,839.9822580377357,182.94149139169923,4597.821163143381,0.3910118557993342,1.2888340816392054e-09
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,9.0,4.835982071498034e-12,9.671964142996068e-12,214.9124655849056,2.667711193250013e-09,835.1954844528301,201.60403162089543,5700.219702068604,0.36045656004535337,1.8052096355624085e-09
